Currency,Date,Closing Price (USD),Volume,Volume in BTC
BTC,2014-11-04,324.467934,15655500.0,48249.76017506864
BTC,2014-11-05,328.644408,19817200.0,60299.82411871739
BTC,2014-11-06,337.921358,18797000.0,55625.36831424547
BTC,2014-11-07,348.99286,16834200.0,48236.51693046098
BTC,2014-11-08,341.459753,8535470.0,24997.00162320448
BTC,2014-11-09,344.745289,24205600.0,70212.99716730864
BTC,2014-11-10,357.239982,30450100.0,85237.09980480293
BTC,2014-11-11,371.116917,15838900.0,42679.00296229288
BTC,2014-11-12,366.664633,45783200.0,124863.96526822919
BTC,2014-11-13,428.882925,58945000.0,137438.4396394424
BTC,2014-11-14,418.944218,29589200.0,70628.01854923798
BTC,2014-11-15,399.688315,15727500.0,39349.411553350015
BTC,2014-11-16,374.983975,11905600.0,31749.623433908077
BTC,2014-11-17,388.040069,41518800.0,106996.16693450283
BTC,2014-11-18,387.062731,32222500.0,83248.7796403214
BTC,2014-11-19,373.7797,18931800.0,50649.62061877625
BTC,2014-11-20,378.013084,25233200.0,66752.18681054965
BTC,2014-11-21,356.750538,29850100.0,83672.19336891371
BTC,2014-11-22,350.599464,15273000.0,43562.53094556927
BTC,2014-11-23,352.080105,15151600.0,43034.52477100346
BTC,2014-11-24,366.424325,30930100.0,84410.6078383306
BTC,2014-11-25,376.211826,25442200.0,67627.32652641281
BTC,2014-11-26,376.917086,18601700.0,49352.23339809011
BTC,2014-11-27,369.402421,8748030.0,23681.57191909687
BTC,2014-11-28,369.807768,22946500.0,62049.80529235394
BTC,2014-11-29,377.078294,15375600.0,40775.616747645516
BTC,2014-11-30,375.964613,9194440.0,24455.599495476985
BTC,2014-12-01,377.568288,11763000.0,31154.62917267035
BTC,2014-12-02,380.535819,12364100.0,32491.29091839841
BTC,2014-12-03,382.810282,13340100.0,34847.8100700545
BTC,2014-12-04,376.230628,14529600.0,38618.86544760518
BTC,2014-12-05,370.539639,15181800.0,40972.13469784807
BTC,2014-12-06,377.384886,7009320.0,18573.398829755995
BTC,2014-12-07,375.097528,6491650.0,17306.56566736958
BTC,2014-12-08,375.749288,18898700.0,50296.036755231326
BTC,2014-12-09,361.12719,32915500.0,91146.5569789968
BTC,2014-12-10,351.69696,16427700.0,46709.81517724805
BTC,2014-12-11,345.204109,32431300.0,93948.18646263564
BTC,2014-12-12,348.597076,16989800.0,48737.64345630942
BTC,2014-12-13,352.235617,11675900.0,33147.98230640032
BTC,2014-12-14,347.330577,12415200.0,35744.621470513375
BTC,2014-12-15,353.053905,17264200.0,48899.614918577376
BTC,2014-12-16,346.405127,30864900.0,89100.58655107608
BTC,2014-12-17,326.892223,37567900.0,114924.42265902422
