Block,timestamp,Amount,Balance,@Price,Balance USD,Realized price
715031 2021-12-21 12:01:44,2021-12-21 12:01:44,7.77e-06,120022.57232621,"$5,634,397,640 @ $46,944.48",3040109469.0,3040109469.0
715010 2021-12-21 08:58:00,2021-12-21 08:58:00,136.0,120022.57231844,"$5,632,828,084 @ $46,931.41",3038539914.0,3038539914.0
714882 2021-12-20 12:00:26,2021-12-20 12:00:26,7.77e-06,119886.57231844,"$5,590,480,657 @ $46,631.42",3002575158.0,3002575158.0
714765 2021-12-19 15:45:06,2021-12-19 15:45:06,7.77e-06,119886.57231067,"$5,704,618,596 @ $47,583.47",3116713098.0,3116713098.0
714704 2021-12-19 06:23:53,2021-12-19 06:23:53,0.00048,119886.5723029,"$5,624,952,611 @ $46,918.95",3037047113.0,3037047113.0
714613 2021-12-18 13:56:02,2021-12-18 13:56:02,7.77e-06,119886.5718229,"$5,579,189,611 @ $46,537.24",2991284135.0,2991284135.0
714590 2021-12-18 09:22:42,2021-12-18 09:22:42,137.0,119886.57181513,"$5,516,787,773 @ $46,016.73",2928882299.0,2928882299.0
714461 2021-12-17 12:08:56,2021-12-17 12:08:56,7.77e-06,119749.57181513,"$5,728,175,499 @ $47,834.62",3146574316.0,3146574316.0
714346 2021-12-16 12:01:15,2021-12-16 12:01:15,7.77e-06,119749.57180736,"$5,857,482,156 @ $48,914.43",3275880973.0,3275880973.0
714317 2021-12-16 07:27:16,2021-12-16 07:27:16,0.00022404,119749.57179959,"$5,844,229,557 @ $48,803.76",3262628374.0,3262628374.0
714221 2021-12-15 16:34:18,2021-12-15 16:34:18,7.77e-06,119749.57157555,"$5,801,118,312 @ $48,443.75",3219517141.0,3219517141.0
714186 2021-12-15 09:24:49,2021-12-15 09:24:49,257.0,119749.57156778,"$5,762,216,701 @ $48,118.89",3180615530.0,3180615530.0
714177 2021-12-15 07:58:09,2021-12-15 07:58:09,1.00061604,119492.57156778,"$5,768,525,715 @ $48,275.18",3199291099.0,3199291099.0
714130 2021-12-15 00:14:16,2021-12-15 00:14:16,2.022e-05,119491.57095174,"$5,604,274,880 @ $46,901.01",3035088569.0,3035088569.0
714090 2021-12-14 16:39:20,2021-12-14 16:39:20,-1.00137456,119491.57093152,"$5,625,536,308 @ $47,078.94",3056349998.0,3056349998.0
714053 2021-12-14 11:54:20,2021-12-14 11:54:20,7.77e-06,119492.57230608,"$5,610,786,222 @ $46,955.1",3041552769.0,3041552769.0
714038 2021-12-14 09:42:21,2021-12-14 09:42:21,290.0,119492.57229831,"$5,611,786,413 @ $46,963.47",3042552960.0,3042552960.0
713921 2021-12-13 11:53:58,2021-12-13 11:53:58,7.77e-06,119202.57229831,"$5,820,803,035 @ $48,831.19",3265188990.0,3265188990.0
713788 2021-12-12 15:35:04,2021-12-12 15:35:04,7.77e-06,119202.57229054,"$5,862,946,568 @ $49,184.73",3307332523.0,3307332523.0
713657 2021-12-11 16:43:42,2021-12-11 16:43:42,7.77e-06,119202.57228277,"$5,746,840,590 @ $48,210.71",3191226545.0,3191226545.0
713592 2021-12-11 07:16:15,2021-12-11 07:16:15,347.0,119202.572275,"$5,677,969,861 @ $47,632.95",3122355817.0,3122355817.0
713584 2021-12-11 06:39:10,2021-12-11 06:39:10,0.00139375,118855.572275,"$5,699,895,626 @ $47,956.49",3160810215.0,3160810215.0
713566 2021-12-11 04:27:37,2021-12-11 04:27:37,3e-05,118855.57088125,"$5,731,288,360 @ $48,220.61",3192203015.0,3192203015.0
